iter	Passed	Remaining
0	0	61
1	1	64
2	1	58
3	2	51
4	2	47
5	2	43
6	3	42
7	3	41
8	4	42
9	4	41
10	5	41
11	5	42
12	6	41
13	6	41
14	7	41
15	8	42
16	8	41
17	8	40
18	9	40
19	9	39
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	12	36
26	13	36
27	14	36
28	14	35
29	14	34
30	15	34
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	18	29
39	19	29
40	20	29
41	20	28
42	22	29
43	22	29
44	23	28
45	24	28
46	25	28
47	38	41
48	38	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	42	34
55	45	35
56	45	34
57	45	33
58	46	32
59	46	31
60	46	29
61	47	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	22
69	52	22
70	52	21
71	55	21
72	57	21
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	60	15
80	61	14
81	61	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	64	7
89	64	7
90	65	6
91	65	5
92	65	4
93	66	4
94	66	3
95	66	2
96	67	2
97	67	1
98	67	0
99	67	0
