iter	Passed	Remaining
0	60	60853
1	61	30645
2	61	20550
3	62	15532
4	62	12490
5	63	10461
6	63	9022
7	64	7956
8	64	7147
9	65	6503
10	66	5940
11	66	5476
12	66	5080
13	67	4751
14	67	4461
15	68	4208
16	69	4007
17	69	3799
18	70	3614
19	70	3449
20	70	3300
21	71	3174
22	71	3054
23	72	2942
24	72	2840
25	73	2745
26	73	2662
27	74	2576
28	74	2495
29	74	2424
30	75	2354
31	75	2294
32	76	2237
33	76	2182
34	77	2129
35	77	2076
36	77	2028
37	78	1990
38	79	1949
39	80	1920
40	80	1881
41	80	1846
42	81	1809
43	81	1772
44	81	1738
45	82	1706
46	82	1679
47	83	1648
48	83	1620
49	83	1593
50	84	1568
51	84	1542
52	85	1520
53	85	1499
54	86	1480
55	86	1459
56	86	1439
57	87	1419
58	87	1401
59	88	1386
60	88	1369
61	89	1353
62	89	1336
63	90	1323
64	90	1305
65	91	1290
66	91	1276
67	92	1265
68	92	1252
69	93	1239
70	93	1226
71	94	1212
72	94	1198
73	94	1188
74	95	1177
75	95	1165
76	96	1153
77	96	1142
78	97	1131
79	97	1120
80	97	1109
81	98	1098
82	98	1086
83	98	1076
84	99	1068
85	99	1061
86	100	1052
87	100	1044
88	101	1037
89	101	1029
90	102	1019
91	102	1012
92	103	1004
93	103	996
94	103	989
95	104	983
96	104	975
97	105	967
98	105	960
99	105	952
100	106	945
101	106	940
102	107	933
103	107	927
104	108	922
105	108	917
106	109	911
107	109	905
108	110	901
109	110	895
110	111	889
111	111	884
112	111	878
113	112	871
114	112	866
115	112	860
116	113	855
117	113	850
118	114	846
119	114	841
120	115	836
121	115	829
122	116	827
123	116	823
124	117	820
125	117	816
126	118	811
127	118	807
128	118	803
129	119	798
130	119	794
131	120	790
132	120	785
133	120	780
134	121	776
135	121	772
136	121	767
137	122	764
138	122	761
139	123	757
140	123	755
141	124	750
142	124	747
143	125	744
144	125	740
145	126	737
146	126	733
147	126	729
148	127	725
149	127	721
150	127	718
151	128	714
152	128	711
153	129	709
154	129	706
155	130	705
156	131	703
157	131	700
158	132	698
159	132	695
160	132	691
161	132	687
162	133	684
163	133	682
164	134	679
165	134	676
166	135	673
167	135	670
168	135	667
169	136	664
170	136	661
171	136	658
172	137	656
173	137	654
174	138	651
175	138	650
176	139	647
177	139	645
178	140	642
179	141	644
180	141	641
181	142	639
182	142	636
183	143	637
184	144	634
